ts,line,soil_moisture,current_volume,air_temp,air_humidity,pressure
2023-06-29 06:10:31.396,1,28.45,0,24.5,61.0,1010.7
2023-06-29 13:01:27.513,1,24.8,0,41.2,39.5,1010.9
2023-06-29 13:11:28.886,1,25.17,0,40.2,46.0,1010.8
2023-06-29 13:19:01.630,1,6.81,0,39.7,38.0,1010.6
2023-06-29 13:29:02.669,1,23.82,0,39.4,35.0,1010.6
2023-06-29 13:39:04.017,1,23.5,0,39.8,33.0,1010.3
2023-06-29 13:49:05.390,1,23.41,0,38.7,32.5,1010.1
2023-06-29 13:59:06.776,1,23.41,30,40.6,30.0,1010.1
2023-06-29 14:04:16.101,2,31.9,0,40.6,30.0,1010.1
2023-06-29 14:09:08.127,1,23.35,31,35.9,31.5,1010.0
2023-06-29 14:14:17.491,2,31.9,0,35.9,31.5,1010.0
2023-06-29 14:19:09.488,1,23.35,31,34.9,35.0,1009.9
2023-06-29 14:24:18.856,2,31.74,0,34.9,35.0,1009.9
2023-06-29 14:29:10.853,1,23.35,31,34.7,35.0,1009.9
2023-06-29 14:34:20.229,2,31.74,0,34.7,35.0,1009.9
2023-06-29 14:39:12.222,1,23.35,31,34.2,34.5,1009.7
2023-06-29 14:49:13.603,1,23.35,31,33.6,35.0,1009.7
2023-06-29 14:54:22.965,2,31.61,0,33.6,35.0,1009.7
2023-06-29 14:59:14.968,1,23.29,31,33.8,35.0,1009.6
2023-06-29 15:04:24.328,2,31.55,0,33.8,35.0,1009.6
2023-06-29 15:09:16.334,1,23.29,31,34.2,35.0,1009.5
2023-06-29 15:14:25.689,2,31.48,0,34.2,35.0,1009.5
2023-06-29 15:19:17.704,1,23.29,31,34.5,34.5,1009.4
2023-06-29 15:24:27.071,2,31.48,0,34.5,34.5,1009.4
2023-06-29 15:29:19.060,1,23.35,31,34.5,36.0,1009.2
2023-06-29 15:34:28.426,2,31.41,0,34.5,36.0,1009.2
2023-06-29 15:39:20.427,1,23.35,93,34.6,35.5,1009.2
2023-06-29 15:44:29.799,2,31.41,84,34.6,35.5,1009.2
2023-06-29 15:49:21.805,1,23.29,130,34.6,35.0,1009.0
2023-06-29 15:54:31.159,2,31.41,137,34.6,35.0,1009.0
2023-06-29 15:59:23.162,1,23.35,154,34.2,35.5,1009.1
2023-06-29 16:04:32.525,2,31.41,165,34.2,35.5,1009.1
2023-06-29 16:06:26.464,3,44.38,0,34.2,35.5,1009.1
2023-06-29 16:09:24.532,1,23.35,154,33.9,36.5,1009.1
2023-06-29 16:14:33.890,2,31.35,165,33.9,36.5,1009.1
2023-06-29 16:16:27.828,3,44.29,0,33.9,36.5,1009.1
2023-06-29 16:19:25.895,1,23.35,154,33.9,37.0,1009.1
2023-06-29 16:24:35.258,2,31.35,165,33.9,37.0,1009.1
2023-06-29 16:26:29.206,3,44.29,0,33.9,37.0,1009.1
2023-06-29 16:29:27.263,1,23.35,154,33.9,35.0,1009.2
2023-06-29 16:34:36.631,2,31.35,165,33.9,35.0,1009.2
