ts,rain,wind_speed,et0,solar_radiation
2023-06-28 00:00:00,0.0,17.7,0.04,0.0
2023-06-28 01:00:00,0.0,15.5,0.03,0.0
2023-06-28 02:00:00,0.0,16.2,0.02,0.0
2023-06-28 03:00:00,0.0,13.8,0.01,0.0
2023-06-28 04:00:00,0.0,12.6,0.02,2.0
2023-06-28 05:00:00,0.0,13.4,0.04,25.0
2023-06-28 06:00:00,0.0,12.8,0.06,55.0
2023-06-28 07:00:00,0.0,13.7,0.1,98.0
2023-06-28 08:00:00,0.0,12.6,0.12,123.0
2023-06-28 09:00:00,0.0,12.7,0.19,220.0
2023-06-28 10:00:00,0.0,14.4,0.24,295.0
2023-06-28 11:00:00,0.0,11.5,0.38,497.0
2023-06-28 12:00:00,0.0,11.3,0.49,691.0
2023-06-28 13:00:00,0.1,10.8,0.54,756.0
2023-06-28 14:00:00,0.2,16.2,0.5,679.0
2023-06-28 15:00:00,0.1,17.4,0.43,568.0
2023-06-28 16:00:00,0.0,18.7,0.35,425.0
2023-06-28 17:00:00,0.0,20.1,0.25,260.0
2023-06-28 18:00:00,0.0,17.3,0.18,123.0
2023-06-28 19:00:00,0.0,15.1,0.12,37.0
2023-06-28 20:00:00,0.0,15.1,0.12,0.0
2023-06-28 21:00:00,0.0,14.5,0.08,0.0
2023-06-28 22:00:00,0.0,12.5,0.07,0.0
2023-06-28 23:00:00,0.0,10.3,0.05,0.0
2023-06-29 00:00:00,0.0,7.4,0.02,0.0
2023-06-29 01:00:00,0.0,7.1,0.02,0.0
2023-06-29 02:00:00,0.0,8.3,0.02,0.0
2023-06-29 03:00:00,0.0,9.5,0.02,0.0
2023-06-29 04:00:00,0.0,8.7,0.02,3.0
2023-06-29 05:00:00,0.0,8.9,0.05,68.0
2023-06-29 06:00:00,0.0,9.7,0.13,205.0
2023-06-29 07:00:00,0.0,13.0,0.25,374.0
2023-06-29 08:00:00,0.0,17.1,0.39,532.0
2023-06-29 09:00:00,0.0,18.1,0.51,677.0
2023-06-29 10:00:00,0.0,17.4,0.59,786.0
2023-06-29 11:00:00,0.0,16.7,0.66,857.0
2023-06-29 12:00:00,0.0,14.8,0.67,885.0
2023-06-29 13:00:00,0.0,11.6,0.55,678.0
2023-06-29 14:00:00,0.0,9.0,0.46,544.0
2023-06-29 15:00:00,0.0,9.7,0.47,577.0
2023-06-29 16:00:00,0.0,9.0,0.39,466.0
2023-06-29 17:00:00,0.0,7.9,0.28,321.0
2023-06-29 18:00:00,0.0,6.1,0.15,158.0
2023-06-29 19:00:00,0.0,6.9,0.08,37.0
2023-06-29 20:00:00,0.0,7.6,0.08,0.0
2023-06-29 21:00:00,0.0,10.0,0.07,0.0
2023-06-29 22:00:00,0.0,8.4,0.06,0.0
2023-06-29 23:00:00,0.0,5.5,0.03,0.0
2023-06-30 00:00:00,0.0,15.8,0.03,0.0
2023-06-30 01:00:00,0.2,11.4,0.0,0.0
2023-06-30 02:00:00,0.0,2.0,0.0,0.0
2023-06-30 03:00:00,0.0,7.6,0.0,0.0
2023-06-30 04:00:00,0.0,4.2,0.01,2.0
2023-06-30 05:00:00,0.0,2.9,0.03,53.0
2023-06-30 06:00:00,0.0,5.6,0.1,167.0
2023-06-30 07:00:00,0.0,5.2,0.17,267.0
2023-06-30 08:00:00,0.0,1.5,0.23,356.0
2023-06-30 09:00:00,0.0,4.5,0.18,236.0
2023-06-30 10:00:00,0.3,1.0,0.22,308.0
2023-06-30 11:00:00,0.2,1.8,0.31,436.0
2023-06-30 12:00:00,0.1,7.3,0.36,512.0
2023-06-30 13:00:00,0.1,5.8,0.15,148.0
2023-06-30 14:00:00,0.7,6.3,0.18,222.0
2023-06-30 15:00:00,0.4,3.9,0.25,365.0
2023-06-30 16:00:00,0.3,3.6,0.21,303.0
2023-06-30 17:00:00,1.1,6.8,0.14,189.0
2023-06-30 18:00:00,5.3,12.4,0.05,70.0
2023-06-30 19:00:00,1.8,9.5,0.02,21.0
